City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,georgetown,5.4112,100.3354,26.96,89,20,3.09,MY,1707258016
83,remire-montjoly,4.9167,-52.2667,26.02,94,75,0.51,GF,1707258275
84,ola,59.5833,151.2833,-23.55,85,97,4.1,RU,1707258335
85,chimore,-16.9833,-65.1333,28.81,69,65,0.5,BO,1707258509
86,acajutla,13.5928,-89.8275,30.31,40,0,1.2,SV,1707258510
87,adamstown,-25.066,-130.1015,25.01,81,48,3.17,PN,1707258267
88,tonj,7.2737,28.6822,25.2,21,5,2.16,SS,1707258511
89,bratsk,56.1325,101.6142,-12.73,99,80,1.34,RU,1707258512
90,cidreira,-30.1811,-50.2056,23.87,85,100,5.93,BR,1707258512
91,dwarka,22.2394,68.9678,22.28,78,70,5.42,IN,1707258334
92,puerto ayora,-0.7393,-90.3518,27.98,79,69,4.82,EC,1707258283
93,kone,-21.0595,164.8658,26.72,83,100,2.25,NC,1707258097
94,kapa'a,22.0752,-159.319,26.18,67,20,9.77,US,1707258277
95,torghay,49.6339,63.4981,0.44,98,100,8.65,KZ,1707258513
96,saint-jean,45.2727,-66.0677,-1.0,86,40,6.17,CA,1707258239
97,mount isa,-20.7333,139.5,27.87,61,100,7.72,AU,1707258301
98,thompson,55.7435,-97.8558,-16.91,66,75,3.6,CA,1707258290
99,tazovsky,67.4667,78.7,-15.91,98,95,3.79,RU,1707258286
100,besisahar,28.2313,84.3761,11.24,28,12,3.77,NP,1707258516
101,nishon tumani,38.694,65.6751,14.14,30,20,8.23,UZ,1707258516
102,dudinka,69.4058,86.1778,-19.62,87,100,3.58,RU,1707258333
103,meadow lake,34.8014,-106.5436,14.16,33,100,2.43,US,1707258517
104,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,86,75,3.0,RU,1707258321
105,aasiaat,68.7098,-52.8699,-15.57,80,100,5.68,GL,1707258277
106,hirara,24.8,125.2833,18.15,82,100,1.54,JP,1707258517
107,khandyga,62.6667,135.6,-40.97,99,99,1.02,RU,1707258354
108,porkhov,57.765,29.5561,-8.94,96,99,2.22,RU,1707258518
109,pemba,-12.974,40.5178,28.39,94,40,4.63,MZ,1707258518
110,ribeira grande,38.5167,-28.7,17.65,94,100,11.62,PT,1707258268
111,yellowknife,62.456,-114.3525,-16.99,78,100,6.71,CA,1707258100
